title,url,thumbnail,color
Lava La Rue - Widdit | A COLORS SHOW,https://www.youtube.com/watch?v=r-x6sBYbmbM,https://i.ytimg.com/vi/r-x6sBYbmbM/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBBWf4mxxE64wfc28Qv13Nprpw3OQ,#e26c2e
S. Pri Noir - Chico | A COLORS SHOW,https://www.youtube.com/watch?v=tc43B0rl-Qo,https://i.ytimg.com/vi/tc43B0rl-Qo/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBy5Z3FAoW9AIcnw4UfDvCj8ftykA,#d2413e
Nitro - Passepartout & Lucifero | A COLORS SHOW,https://www.youtube.com/watch?v=l-m1w8L-cL8,https://i.ytimg.com/vi/l-m1w8L-cL8/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBPzarx7_fOZ2rBifA7kTSMhDlaKA,#bc8727
Tom Misch - It Runs Through Me | A COLORS SHOW,https://www.youtube.com/watch?v=ilNEqmfUyzI,https://i.ytimg.com/vi/ilNEqmfUyzI/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC4Yk2mW1fAATcDlq4Y52Wn9Tm6xA,#e5a925
Tobi Lou - Orange | A COLORS SHOW,https://www.youtube.com/watch?v=RWKAkRj8Vag,https://i.ytimg.com/vi/RWKAkRj8Vag/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCHlm2Oig03mg7SWHgUOY6-qAMR2w,#c0451b
Kali Uchis - Killer | A COLORS SHOW,https://www.youtube.com/watch?v=MYESVkUxWxM,https://i.ytimg.com/vi/MYESVkUxWxM/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLD3PR_kasmPu2CmG9BID0GSbgfM5Q,#742020
Lefa - Seul | A COLORS SHOW,https://www.youtube.com/watch?v=fYVkUUGokp8,https://i.ytimg.com/vi/fYVkUUGokp8/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCgJPmnYOZySN6w5solaGiublyOYw,#6c3133
Not3s - Got | A COLORS SHOW,https://www.youtube.com/watch?v=u2uFdEJUwaU,https://i.ytimg.com/vi/u2uFdEJUwaU/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAvsprzPnIBAb6novaS4t82n8WEPQ,#26283d
XamVolo - Sudden | A COLORS SHOW,https://www.youtube.com/watch?v=AKoUx9Z9rBc&pp=0gcJCTwKAYcqIYzv,https://i.ytimg.com/vi/AKoUx9Z9rBc/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAvmgdSyNYqYVUR9gC-PTYtd6AZHw,#566a75
Moka Boka - Sourire | A COLORS SHOW,https://www.youtube.com/watch?v=qahYxwvuD48&pp=0gcJCTwKAYcqIYzv,https://i.ytimg.com/vi/qahYxwvuD48/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDFgPBCNmCms5tyK169jisat_aPdQ,#5b1014
